paper title (separate scrape),paper authors (separate scrape),title,paper identifier,paper link,impact statement,impact statement title,word count,sentence count,opt out,ambiguous opt out,manually corrected,human review,Image based PDF,paper title (subjects),primary subject area,secondary subject areas,clustering subject preference,authors,affiliations,academic,industry,mixed,country
Robust Sub-Gaussian Principal Component Analysis and Width-Independent Schatten Packing,"Arun Jambulapati, Jerry Li, Kevin Tian",Robust Sub-Gaussian Principal Component Analysis and Width-Independent Schatten Packing,b58144d7e90b5a43edcce1ca9e642882,https://proceedings.neurips.cc/paper/2020/file/b58144d7e90b5a43edcce1ca9e642882-Paper.pdf,"Our work provides frameworks for learning properties about the covariance of sub-Gaussian distributions which have been corrupted under noise. As a key subroutine, we develop solvers for smoothed positive linear and semidefinite programs. We believe these results are interesting from an academic perspective, e.g. our techniques may be applicable generally for robust statistics and convex optimization researchers. Moreover, because our primary results concern robustness of models to arbitrarily corrupted data, we believe our methods may have practical implications for downstream tasks where protection against a malicious adversary is warranted. Similarly, as our main subroutine is a solver attaining strong computational guarantees for a wider variety of objectives than was previously known, it is possible that our methods can be leveraged to broaden the types of downstream tasks that can be performed. Namely, as lp norm packing linear program solvers have found applications in fair resource allocation, our hope is that our smoothed and mixed-norm guarantee semidefinite solvers can find similar applications in learning algorithms for objectives designed with fairness or privacy in mind.",Broader Impact,173,6,,,FALSE,TRUE,FALSE,Robust Sub-Gaussian Principal Component Analysis and Width-Independent Schatten Packing,Optimization -> Convex Optimization,Algorithms -> Spectral Methods; Theory -> Computational Learning Theory; Theory -> Statistical Learning Theory,Theory (including computational and statistical analyses),"['Arun Jambulapati', ' Jerry Li', ' Kevin Tian']","{'Stanford University', 'Microsoft'}",1,1,1,{'USA'}
Adaptive Importance Sampling for Finite-Sum Optimization and Sampling with Decreasing Step-Sizes,"Ayoub El Hanchi, David Stephens",Adaptive Importance Sampling for Finite-Sum Optimization and Sampling with Decreasing Step-Sizes,b58f7d184743106a8a66028b7a28937c,https://proceedings.neurips.cc/paper/2020/file/b58f7d184743106a8a66028b7a28937c-Paper.pdf,"Our work develops a new method for variance reduction for stochastic optimization and sampling algorithms. On the optimization side, we expect our method to be very useful in accelerating the training of large scale neural networks, particularly since our method is expected to provide significant performance gains when the model is able to fit the data nearly perfectly. On the sampling side, we expect our method to be useful in accelerating the convergence of MCMC algorithms, opening the door for the use of accurate Bayesian methods at a large scale.",Broader Impact,90,3,,,FALSE,FALSE,FALSE,Adaptive Importance Sampling for Finite-Sum Optimization and Sampling with Decreasing Step-Sizes,Optimization -> Stochastic Optimization,Algorithms -> Online Learning; Probabilistic Methods -> MCMC,Optimization Methods (continuous or discrete),"['Ayoub El Hanchi', ' David Stephens']",{'McGill University'},1,0,0,{'Canada'}
Learning efficient task-dependent representations with synaptic plasticity,"Colin Bredenberg, Eero Simoncelli, Cristina Savin",Learning efficient task-dependent representations with synaptic plasticity,b599e8250e4481aaa405a715419c8179,https://proceedings.neurips.cc/paper/2020/file/b599e8250e4481aaa405a715419c8179-Paper.pdf,"Here we develop a theoretical framework for the neural substrates of perceptual learning in animals and humans. The moral valence of this work is largely determined by its application: understanding perceptual learning could potentially have a beneficial impact by leading to a better theory of developmental disorders, such as amblyopia, autism, or schizophrenia, but it could also have a potentially negative impact by being used as a tool to manipulate learning in consenting individuals. As our work is theoretical, biases caused by data, and potential system failures are not applicable.",5 Broader Impact,90,3,FALSE,FALSE,FALSE,FALSE,FALSE,Learning efficient task-dependent representations with synaptic plasticity,Neuroscience and Cognitive Science,Neuroscience and Cognitive Science -> Neural Coding; Neuroscience and Cognitive Science -> Plasticity and Adaptation,Neuroscience and cognitive science,"['Colin Bredenberg', ' Eero Simoncelli', ' Cristina Savin']","{'New York University', 'HHMI / New York University', 'NYU'}",1,0,0,{'USA'}
A Contour Stochastic  Gradient Langevin Dynamics Algorithm for Simulations of Multi-modal Distributions,"Wei Deng, Guang Lin, Faming Liang",A Contour Stochastic Gradient Langevin Dynamics Algorithm for Simulations of Multi-modal Distributions,b5b8c484824d8a06f4f3d570bc420313,https://proceedings.neurips.cc/paper/2020/file/b5b8c484824d8a06f4f3d570bc420313-Paper.pdf,"Our algorithm ensures AI safety by providing more robust predictions and helps build a safer environment. It is an extension of the flat histogram algorithms from the Metropolis kernel to the Langevin kernel and paves the way for future research in various dynamic importance samplers and adaptive biasing force (ABF) techniques for big data problems. The Bayesian community and the researchers in the area of Monte Carlo methods will enjoy the benefit of our work. To our best knowledge, the negative society consequences are not clear and no one will be put at disadvantage.",Broader Impact,94,4,,,FALSE,FALSE,FALSE,A Contour Stochastic  Gradient Langevin Dynamics Algorithm for Simulations of Multi-modal Distributions,Probabilistic Methods -> MCMC,Deep Learning -> Optimization for Deep Networks,Probabilistic methods and inference,"['Wei Deng', ' Guang Lin', ' Faming Liang']",{'Purdue University'},1,0,0,{'USA'}
Error Bounds of Imitating Policies and Environments,"Tian Xu, Ziniu Li, Yang Yu",Error Bounds of Imitating Policies and Environments ∗,b5c01503041b70d41d80e3dbe31bbd8c,https://proceedings.neurips.cc/paper/2020/file/b5c01503041b70d41d80e3dbe31bbd8c-Paper.pdf,"This work focuses on the theoretical understanding about imitation learning methods in imitating policies and environments, which does not present any direct societal consequence. This work indicates possible improvement direction for MBRL, which might help reinforcement learning get better used in the real world. There could be some consequence when reinforcement learning is getting abused, such as manipulate information presentation to control people’s behaviors.",Broader Impact,64,3,,,FALSE,FALSE,FALSE,Error Bounds of Imitating Policies and Environments,Reinforcement Learning and Planning,Reinforcement Learning and Planning -> Markov Decision Processes; Reinforcement Learning and Planning -> Reinforcement Learning,Reinforcement learning and planning,"['Tian Xu', ' Ziniu Li', ' Yang Yu']",{'Nanjing University'},1,0,0,{'China'}
Disentangling Human Error from Ground Truth in Segmentation of Medical Images,"Le Zhang, Ryutaro Tanno, Moucheng Xu, Chen Jin, Joseph Jacob, Olga Cicarrelli, Frederik Barkhof, Daniel Alexander",Disentangling Human Error from the Ground Truth in Segmentation of Medical Images,b5d17ed2b502da15aa727af0d51508d6,https://proceedings.neurips.cc/paper/2020/file/b5d17ed2b502da15aa727af0d51508d6-Paper.pdf,"Image segmentation has been one of the main challenges in modern medical image analysis, and describes the process of assigning each pixel or voxel in images with biologically meaningful discrete labels, such as anatomical structures and tissue types (e.g. pathology and healthy tissues). The task is required in many clinical and research applications, including surgical planning [41, 42], and the study of disease progression, aging or healthy development [43, 44, 45]. However, there are many cases in practice where the correct delineation of structures is challenging; this is also reflected in the well-known presence of high inter- and intra-reader variability in segmentation labels obtained from trained experts [9, 23, 5]. Although expert manual annotations of lesions is feasible in practice, this task is time consuming. It usually takes 1.5 to 2 hours to label a MS patient with average 3 visit scans. Meanwhile, the long-established gold standard for segmentation of medical images has been manually voxel-by-voxel labeled by an expert anatomist. Unfortunately, this process is fraught with both interand intra-rater variability (e.g., on the order of approximately 10% by volume [46, 47]). Thus, developing an automatic segmentation technique to fix the variability among inter- and intra-readers could be meaningful not only in terms of the accuracy in delineating MS lesions but also in the related reductions in time and economic costs derived from manual lesion labeling. The lack of consistency in labelling is also common to see in other medical imaging applications, e.g., in lung abnormalities segmentation from CT images. A lesion might be clearly visible by one annotator, but the information about whether it is cancer tissue or not might not be clear to others. While our work in the current form has only been demonstrated on medical images, we would like to stress that the medical imaging domain offers a considerably broad range of opportunities for impact; e.g., diagnosis/prognosis in radiology, surgical planning and study of disease progression and treatment, etc. In addition, the annotator information could be potentially utilised for the purpose of education. Another potential opportunity is to integrate such information into the data/label acquisition scheme in order to train reliable segmentation algorithms in a data-efficient manner.",Boarder Impact Statement,361,13,,,FALSE,FALSE,FALSE,Disentangling Human Error from Ground Truth in Segmentation of Medical Images,Applications -> Computer Vision,"Algorithms -> Representation Learning; Algorithms -> Structured Prediction; Algorithms -> Uncertainty Estimation; Data, Challenges, Implementations, and Software -> Benchmarks; Deep Learning -> CNN Architectures; Social Aspects of Machine Learning -> AI Safety","Learning with limited supervision (e.g., unsupervised learning, active learning, few-shot, meta-learning, transfer learning, etc.)","['Le Zhang', ' Ryutaro Tanno', ' Moucheng Xu', ' Chen Jin', ' Joseph Jacob', ' Olga Cicarrelli', ' Frederik Barkhof', ' Daniel Alexander']","{'University College London', 'Microsoft Research / UCL', 'Queen Square Multiple Sclerosis Centre'}",1,1,1,"{'UK', 'USA'}"
Consequences of Misaligned AI,"Simon Zhuang, Dylan Hadfield-Menell",Consequences of Misaligned AI,b607ba543ad05417b8507ee86c54fcb7,https://proceedings.neurips.cc/paper/2020/file/b607ba543ad05417b8507ee86c54fcb7-Paper.pdf,"As AI systems become more capable in today’s society, the consequences of misspecified reward functions increase as well. Instances where the goal of the AI system and the preferences of individuals diverge are starting to emerge in the real world. For example, content recommendation algorithms optimizing for clicks causes clickbait and misinformation to proliferate (33). Our work rigorously defines this general problem and suggests two separate approaches for dealing with incomplete or misspecified reward functions. In particular, we argue that, in the absence of a full description of attributes, the incentives for real-world systems need to be plastic and dynamically adjust based on changes in behavior of the agent and the state of the world.",Broader Impact,115,5,,,TRUE,TRUE,FALSE,Consequences of Misaligned AI,Social Aspects of Machine Learning -> AI Safety,Algorithms -> Ranking and Preference Learning,"Social aspects of machine learning (e.g., fairness, safety, privacy)","['Simon Zhuang', 'Menell']",{'UC Berkeley'},1,0,0,{'USA'}
Promoting Coordination through Policy Regularization in Multi-Agent Deep Reinforcement Learning,"Julien Roy, Paul Barde, Félix Harvey, Derek Nowrouzezahrai, Chris Pal",Promoting Coordination through Policy Regularization in Multi-Agent Deep Reinforcement Learning,b628386c9b92481fab68fbf284bd6a64,https://proceedings.neurips.cc/paper/2020/file/b628386c9b92481fab68fbf284bd6a64-Paper.pdf,"In this work, we present and study methods to enforce coordination in MARL algorithms. It goes without saying that multi-agent systems can be employed for positive and negative applications alike. We do not propose methods aimed at making new applications possible or improving a particular set of applications. We instead propose methods that allow to better understand and improve multi-agent RL algorithms in general. Therefore, we do not aim in this section at discussing the impact of Multi- Agent Reinforcement Learning applications themselves but focus on the impact of our contribution: promoting multi-agent behaviors that are coordinated. We first observe that current Multi-Agent Reinforcement Learning (MARL) algorithms may fail to train agents that leverage information about the behavior of their teammates and that even when  explicitly given their teammates observations, action and current policy during the training phase. We believe that this is an important observation worth raising some concern among the community since there is a widespread belief that centralized training (like MADDPG) should always outperform decentralize training (DDPG). Not only is this belief unsupported by empirical evidence (at least in our experiments) but it also prevents the community from investigating and tackling this flaw that is an important limitation for learning safer and more effective multi-agent behavior. By not accounting for the behavior of its teammates, an agent could not adapt to a new teammate or even a change in the teammates behavior. This prevents current methods to be applied in the real world where there is external perturbations and uncertainties and where an artificial agent may need to interact with various different individuals. We propose to focus on coordination and sketch a definition of coordination: an agent behavior should be predictable given its teammate behavior. While this definition is restrictive, we believe that it is a good starting point to consider. Indeed, enforcing that criterion should make learning agents more aware of their teammates in order to coordinate with them. Yet, coordination alone does not ensure success, as agents could be coordinated in an unproductive manner. More so, coordination could have detrimental effects if it enables an attacker to influence an agent through taking control of a teammate or using a mock-up teammate. For these reasons, when using multi-agent RL algorithms (or even single-agent RL for that matter) for real world applications, additional safeguards are absolutely required to prevent the system from misbehaving, which is highly probable if out-of-distribution states are to be encountered.",Broader Impact,407,16,,,FALSE,FALSE,FALSE,Promoting Coordination through Policy Regularization in Multi-Agent Deep Reinforcement Learning,Reinforcement Learning and Planning -> Multi-Agent RL,Reinforcement Learning and Planning -> Exploration,Reinforcement learning and planning,"['Julien Roy', ' Paul Barde', ' Félix G Harvey', ' Derek Nowrouzezahrai', ' Chris Pal']","{'Quebec AI institute - Ubisoft La Forge', 'MILA, Polytechnique Montréal, Element AI', 'Polytechnique Montréal', 'McGill University', 'Mila'}",1,1,1,{'Canada'}
Emergent Reciprocity and Team Formation from Randomized Uncertain Social Preferences,Bowen Baker,Emergent Reciprocity and Team Formation from Randomized Uncertain Social Preferences,b63c87b0a41016ad29313f0d7393cee8,https://proceedings.neurips.cc/paper/2020/file/b63c87b0a41016ad29313f0d7393cee8-Paper.pdf,"The human world is social; we often find ourselves in conflict at multiple scales, from our daily lives with a friend or colleague to the international stage. As we continue to deploy artificial agents into our world and give them increasing amounts of responsibility, it will be important that they understand our social dilemmas. Were we to train completely cooperative agents against each other, the notion of defection would never emerge, uncooperative behavior would be out of distribution, and we would have no guarantees on their behavior. For instance, if two entities with possibly misaligned objectives send artificial agents to negotiate a deal or collaborate on a project, those agents should be able to cooperate without being exploited. Similarly, say an entity sends a fully cooperative agent to collaborate with two humans who have misaligned objectives; that agent should expect potential uncooperative behavior from one of them and plan accordingly rather than assume all parties involved will be cooperative. In order for agents to generalize to a world with heterogeneous motives, they must see instances of mixed-motive interactions during training. One very reasonable avenue for agents to gain this knowledge would be to collect enough real data from a variety of human social dilemmas, train agents on the solutions, and hope that they generalize to new social dilemmas in the future. The data collection path is likely to yield fruit in the short term, but learning from human collected data may have a limit. For instance, in the recent work producing super-human agents in Starcraft 2, (3) they directly compare agents trained solely with supervised data from human games to a combination of supervised learning and self-play, and they found the latter to be far superior. Just as self-play and self-supervised learning processes have proven critical in training superhuman agents in challenging video games, they may also provide an avenue to producing agents superior to humans at solving our own social issues if paired with the right environments. However, as we’ve seen in this work and others, the naive multi-agent algorithms that have been extremely successful in zero-sum two-team settings dismally fail when confronted with social dilemmas, converging to all-defect equilibria. Allowing agents to learn and choose when to defect and when to cooperate may bring a host of additional safety problems. For instance, a commonly known issue with the tit-for-tat strategy is that if agents make an error, they won’t be able to recover and will defect forever. Making guarantees that agents are safe and making correct choices will be even more of an issue than with purely cooperative agents. In this work we propose a generic method that leads to both reciprocity and team formation, hallmark behaviors of sustained human cooperation. While not directly relevant to current applications of artificial intelligence, we hope that this work in tandem with prior methods will lay the ground for future artificial agents to (1) have experience in solving social dilemmas similar to those in the human world and (2) endlessly learn and complexify from the pressure of social autocurricula. (53)",8 Broader Impact,509,17,,,TRUE,TRUE,FALSE,Emergent Reciprocity and Team Formation from Randomized Uncertain Social Preferences,Reinforcement Learning and Planning -> Multi-Agent RL,Reinforcement Learning and Planning -> Reinforcement Learning,,['Bowen Baker'],{'OpenAI'},0,1,0,{'USA'}
Hitting the High Notes: Subset Selection for Maximizing Expected Order Statistics,"Aranyak Mehta, Uri Nadav, Alexandros Psomas, Aviad Rubinstein",Hitting the High Notes: Subset Selection for Maximizing Expected Order Statistics,b6417f112bd27848533e54885b66c288,https://proceedings.neurips.cc/paper/2020/file/b6417f112bd27848533e54885b66c288-Paper.pdf,"Our results apply to a wide range of resource allocation problems in society. The applications stated in the introduction — search, auctions, vaccine development, or team selection — all have broad benefits. In this work we focused on optimizing the expected maximum subject to the uncertainty about outcome of each random variable. An interesting question arising from our work is how the availability of more data affects the choices of the algorithms we consider. This question has broad implications given recent research that shows that machine learning training sets are often biased and include less samples corresponding to underrepresented subgroups of the population (e.g. [MMS+19]). Sparseness of data may have two competing effects on the probability of a candidate to be selected: On one hand, our algorithms favor high variance variables, so candidates with less data may be more likely to be selected. On the other hand, our algorithms focus on values in the far tail, and candidates with sparse data may not have any values high enough to show their potential. It is an interesting question to understand how these two affects balance. As an initial step toward understanding how availability of data affects the probability of a candidate being selected, we consider the following experiment: We take n = 500 normal random variables with parameters drawn independently from the same distribution as in Section 6. We randomly partition the variables into More-Data and Less-Data types. For the More-Data types, we take the empirical distribution from 5000 samples; for Less-Data types, we use 10 samples. We then run different algorithms for selecting k = 30 variables using the empirical distribution. For each algorithm, we measure the fraction of Less-Data types selected among the k winners, and the overall max when drawing a fresh sample from each of the k true distributions. We observe (Figure 2) that in terms of expected max (our main objective function), Greedy, Quantile-0.9, and KR-0.9 all perform almost equally well, and Expectation is close after. But Greedy and to some extent Quantile-0.9 under-select Less-Data types, whereas KR-0.9 selects Less-Data types at a higher rate than their fraction (50%) of the population.",Broader impact,356,15,,,TRUE,TRUE,FALSE,Hitting the High Notes: Subset Selection for Maximizing Expected Order Statistics,Theory -> Game Theory and Computational Economics,,Theory (including computational and statistical analyses),,"{'Google', 'Stanford', 'Google Research', 'Purdue University'}",1,1,1,{'USA'}
Towards Scale-Invariant Graph-related Problem Solving by Iterative Homogeneous GNNs,"Hao Tang, Zhiao Huang, Jiayuan Gu, Bao-Liang Lu, Hao Su",Towards Scale-Invariant Graph-related Problem Solving by Iterative Homogeneous Graph Neural Networks,b64a70760bb75e3ecfd1ad86d8f10c88,https://proceedings.neurips.cc/paper/2020/file/b64a70760bb75e3ecfd1ad86d8f10c88-Paper.pdf,"Our methods provide general tools to improve the generalizability of GNNs with respect to scales. This work can thus be applied to many applications of GNNs, such as natural language processing, traffic prediction, and recommendation systems. They have many potential positive impact in the society. For example, better traffic prediction enables shorter traffic time for all vehicles, which could help protect the environment. Improved recommendation system could promote the transition of information for more productivity and more fairness. Moreover, by improving the generalizability with respect to scales, models can be trained on graphs of much smaller scales than reality. It reduces the cost of collecting and storing large datasets with large samples, which can then alleviate the risks of violating privacy and of harming the environment. On the other hand, this work may also have negative consequences. Improving techniques in the field of natural language processing can help monitor and collect personal information of each individual. Stronger recommendation system can also hurt the fairness as different information targeted to different groups of people.",8 Broader Impact,173,10,,,FALSE,FALSE,FALSE,Towards Scale-Invariant Graph-related Problem Solving by Iterative Homogeneous GNNs,Algorithms -> Relational Learning,,Deep learning,"['Hao Tang', ' Zhiao Huang', ' Jiayuan Gu', 'Liang Lu', ' Hao Su']","{'University of California San Diego', 'University of California, San Diego', 'Shanghai Jiao Tong University', 'UCSD'}",1,0,0,"{'USA', 'China'}"
Regret Bounds without Lipschitz Continuity: Online Learning with Relative-Lipschitz Losses,"Yihan Zhou, Victor Sanches Portella, Mark Schmidt, Nicholas Harvey",Regret Bounds without Lipschitz Continuity: Online Learning with Relative-Lipschitz Losses,b67fb3360ae5597d85a005153451dd4e,https://proceedings.neurips.cc/paper/2020/file/b67fb3360ae5597d85a005153451dd4e-Paper.pdf,"In this paper we study the performance of online convex optimization algorithms when the functions are not necessarily Lipschitz continuous, a requirement in classical regret bounds. This opens up the range of applications for which we can use OCO with good guarantees and guides how such parameters such as regularizers/mirror maps and step sizes should be chosen. It is our hope that this aids practitioners to develop more efficient ways to optimize and train their current models. Furthermore, we hope theoreticians to be inspired to delve deep into the setting of non-smooth optimization beyond Lipschitz continuity. It not only opens up the range of applications, but sheds light onto the fundamental conditions on the cost functions and regularizers/mirror maps needed for OCO algorithms to have good guarantees. Due to the theoretical nature of this work, we do not see potentially bad societal or ethical impacts.",7 Statement of Broader Impact,145,6,,,FALSE,FALSE,FALSE,Regret Bounds without Lipschitz Continuity: Online Learning with Relative-Lipschitz Losses,Optimization -> Convex Optimization,Algorithms -> Online Learning,Theory (including computational and statistical analyses),"['Yihan Zhou', ' Victor Sanches Portella', ' Mark Schmidt', ' Nicholas Harvey']",{'University of British Columbia'},1,0,0,{'Canada'}
The Lottery Ticket Hypothesis for Pre-trained BERT Networks,"Tianlong Chen, Jonathan Frankle, Shiyu Chang, Sijia Liu, Yang Zhang, Zhangyang Wang, Michael Carbin",The Lottery Ticket Hypothesis for Pre-trained BERT Networks,b6af2c9703f203a2794be03d443af2e3,https://proceedings.neurips.cc/paper/2020/file/b6af2c9703f203a2794be03d443af2e3-Paper.pdf,"We do not believe that this research poses significant risk of societal harm. This research is scientific in nature, exploring the behavior of an empirical phenomenon (the lottery ticket hypothesis) in a new setting. In general, lottery ticket subnetworks appear to have the same expressive power as the full networks from which they originate, meaning we have not enabled new learning paradigms that were not already possible with the full BERT model. The largest potential societal impact of the research is that, on the appropriate hardware platforms, it may be possible to reduce the cost (both energy costs and financial costs) of fine-tuning BERT models on downstream tasks by using our universal subnetworks rather than the full BERT network.",Broader Impact,119,4,,,FALSE,FALSE,FALSE,The Lottery Ticket Hypothesis for Pre-trained BERT Networks,Deep Learning -> Analysis and Understanding of Deep Networks,Applications -> Natural Language Processing; Deep Learning -> Efficient Inference Methods; Deep Learning -> Efficient Training Methods,AutoML,,"{'MIT CSAIL', 'MIT-IBM Watson AI Lab, IBM Research AI', 'University of Texas at Austin', 'Unversity of Texas at Austin', 'MIT-IBM Watson AI Lab', 'MIT'}",1,1,1,{'USA'}
Label-Aware Neural Tangent Kernel: Toward Better Generalization and Local Elasticity,"Shuxiao Chen, Hangfeng He, Weijie Su",Label-Aware Neural Tangent Kernel: Toward Better Generalization and Local Elasticity,b6b90237b3ebd1e462a5d11dbc5c4dae,https://proceedings.neurips.cc/paper/2020/file/b6b90237b3ebd1e462a5d11dbc5c4dae-Paper.pdf,"While this work may have certain implications on the design and analysis of new kernel methods, here we focus on how this work can potentially influence the interpretation of deep learning systems. In real-world decision-making problems, interpretability is almost always a crucial factor to consider if one is to deploy a machine learning system. For example, in autonomous driving where NNs are used to detect pedestrians and traffic lights, it is important to understand why this detection network outputs a certain prediction and how confident it is for such a prediction, lack of which can cause damages to the surrounding pedestrians and other drivers. Such a call for interpretability is underlying many works on the “calibration” of NNs (see, e.g., Guo et al. 2017). Kernel methods, due to its linearity in the feature space, are easier to interpret than highly non-linear NNs, which is typically treated as a black-box. Thus, having a high-quality “neural-network- simulating” kernel can greatly simplify the design of “neural network interpreters” (like prediction intervals) and may lead to savings of computational resources. However, depending on the user of our technology, there may be negative outcomes. For example, if the user is ignorant of the underlying assumptions behind the validity of our proposed kernels, he/she may have an overt optimism or undue trust on these kernels and make misleading decisions. We see many potential research directions on improving neural network interpretability by using our kernels. For example, our constructions can be generalized to higher-level truncations of the Hoeffding composition, which may give rise to even better “neural-network-simulating” kernels. However, to mitigate the risks associated with the question of “when a kernel is indeed simulating a neural network”, we encourage researchers to carefully examine the validity of the imposed assumptions in a case-by-case manner.",Broader Impact,296,12,,,FALSE,FALSE,FALSE,Label-Aware Neural Tangent Kernel: Toward Better Generalization and Local Elasticity,Deep Learning -> Analysis and Understanding of Deep Networks,"Algorithms -> Kernel Methods; Deep Learning -> Visualization, Interpretability, and Explainability",Deep learning,"['Shuxiao Chen', ' Hangfeng He', ' Weijie Su']","{'University of Pennsylvania', 'The Wharton School, University of Pennsylvania'}",1,0,0,{'USA'}
Beyond Perturbations: Learning Guarantees with Arbitrary Adversarial Test Examples,"Shafi Goldwasser, Adam Tauman Kalai, Yael Kalai, Omar Montasser",Beyond Perturbations: Learning Guarantees with Arbitrary Adversarial Test Examples,b6c8cf4c587f2ead0c08955ee6e2502b,https://proceedings.neurips.cc/paper/2020/file/b6c8cf4c587f2ead0c08955ee6e2502b-Paper.pdf,"In adversarial learning, this work can benefit users when adversarial examples are correctly identified. It can harm users by misidentifying such examples, and the misidentifications of examples as suspicious could have negative consequences just like misclassifications. This work ideally could benefit groups who are underrepresented in training data, by abstaining rather than performing harmful incorrect classification. However, it could also harm such groups: (a) by providing system designers an alternative to collecting fully representative data if possible; (b) by harmfully abstaining at different rates for different groups; (c) when those labels would have otherwise been correct but are instead being withheld; and (d) by identifying them when they would prefer to remain anonymous. Our experiments on handwriting recognition have few ethical concerns but also have less ecological validity than real-world experiments on classifying explicit images or medical scans. A note of caution. Inequities may be caused by using training data that differs from the test distribution on which the classifier is used. For instance, in classifying a person’s gender from a facial image, Buolamwini and Gebru [2018] have demonstrated that commercial classifiers are highly inaccurate on dark-skinned faces, likely because they were trained on light-skinned faces. In such cases, it is preferable to collect a more diverse training sample even if it comes at greater expense, or in some cases to abstain from using machine learning altogether. In such cases, PQ learning should not be used, as an unbalanced distribution of rejections can also be harmful. 4 4We are grateful to an anonymous reviewer who pointed out that gender classification is an example of when not to use PQ learning.",Broader Impact,270,11,,,TRUE,TRUE,FALSE,Beyond Perturbations: Learning Guarantees with Arbitrary Adversarial Test Examples,Theory -> Computational Learning Theory,Algorithms -> Adversarial Learning; Theory -> Statistical Learning Theory,Theory (including computational and statistical analyses),"['Shafi Goldwasser', ' Adam Tauman Kalai', ' Yael Kalai', ' Omar Montasser']","{'Toyota Technological Institute at Chicago', 'Microsoft Research', 'The Simons Institute for the Theory of Computing', 'Micr'}",1,1,1,{'USA'}
AdvFlow: Inconspicuous Black-box Adversarial Attacks using Normalizing Flows,"Hadi Mohaghegh Dolatabadi, Sarah Erfani, Christopher Leckie",AdvFlow: Inconspicuous Black-box Adversarial Attacks using Normalizing Flows,b6cf334c22c8f4ce8eb920bb7b512ed0,https://proceedings.neurips.cc/paper/2020/file/b6cf334c22c8f4ce8eb920bb7b512ed0-Paper.pdf,"In this paper, we introduce a novel adversarial attack algorithm called AdvFlow. It uses pre-trained normalizing flows to generate adversarial examples. This study is crucial as it indicates the vulnerability of deep neural network (DNN) classifiers to adversarial attacks. More precisely, our study reveals that the common assumption made by adversarial example detectors (such as the Mahalanobis detector [32]) that the adversaries come from a different distribution than the data may not be an accurate one. In particular, we show that we can generate adversaries that come from a close distribution to the data, yet they intend to mislead the classifier decision. Thus, we emphasize that adversarial example detectors need to adjust their assumption about the distribution of adversaries before being deployed in real-world situations. Furthermore, since our adversarial examples are closely related to the data distribution, our method shows that DNN classifiers are not learning to classify the data based on their underlying distribution. Otherwise, they would have resisted the attacks generated by AdvFlow. Thus, it can bring the attention of the machine learning community to training their DNN classifiers in a distributional sense. All in all, we pinpoint a failure of DNN classifiers to the rest of the community so that they can become familiar with the limitations of the status-quo. This study, and similar ones, could raise awareness among researchers about the real-world pitfalls of DNN classifiers, with the aim of consolidating them against such threats in the future.",Broader Impact,242,11,,,FALSE,TRUE,FALSE,AdvFlow: Inconspicuous Black-box Adversarial Attacks using Normalizing Flows,Algorithms -> Adversarial Learning,Deep Learning -> Generative Models,Deep learning,"['Hadi Mohaghegh Dolatabadi', ' Sarah Erfani', ' Christopher Leckie']",{'University of Melbourne'},1,0,0,{'Australia'}
Few-shot Image Generation with Elastic Weight Consolidation,"Yijun Li, Richard Zhang, Jingwan (Cynthia) Lu, Eli Shechtman",Few-shot Image Generation with Elastic Weight Consolidation,b6d767d2f8ed5d21a44b0e5886680cb9,https://proceedings.neurips.cc/paper/2020/file/b6d767d2f8ed5d21a44b0e5886680cb9-Paper.pdf,"AI for creativity. The motivation of this work is to expand the amount of data in domains where originally there is limited data available. It is especially useful for artistic domains where manually making a creation takes a lot of work and time. With the generated data, many existing AI-based image synthesis pipelines could be facilitated with the large-scale training. We believe more creative applications could benefit from our work in terms of constructing the indispensable dataset. Detectability. While our use cases in this work are geared towards creative applications, a concern is the generated imagery can be used for the purpose of deception. A potential mitigation is if generated imagery can be reliably detected; there are recent efforts [40, 33] made in this area. The latest work by Wang et al. [40] shows that a classifier trained on images generated by one method, could generalize to others, despite different architectural components or loss functions. As we are using an architecture with many shared components, we expect this generalization ability to hold. We conduct a small study, using the Blur+Jpeg(0.5) model from [40] on our Cat and CelebA-Female datasets. We find the model achieves 94.9 % and 99 . 6% average precision (AP), respectively, for classifying generated images. This indicates our method is similarly detectable to already existing CNN-generated methods. While these results are strong, they are not 100 % . Furthermore, performance can degrade as the images are degraded in real use cases (e.g., compressed, re-scanned). The issue of content authenticity remains a significant challenge, likely requiring multiple layers of solutions, from technical (such as this detector from [40]), to social, to regulatory.",Broader Impact,274,18,,,FALSE,FALSE,FALSE,Few-shot Image Generation with Elastic Weight Consolidation,Applications -> Computer Vision,Deep Learning -> Generative Models,Deep learning,"['Yijun Li', ' Richard Zhang', ' Jingwan', ' Lu', ' Eli Shechtman']","{'Adobe Research', 'Adobe Research, US', 'Cynthia', 'Adobe'}",0,1,0,{'USA'}
